Experiment results
2023-06-23 16:45:29
test_macc0.236188320730768
test_miou0.04546417994662029
test_oacc0.144057
Background,Bedrock,Bedrockwith grass,Large blocks,Large blocks with grass,Scree,Scree with grass,Water,Forest,Glacier
0.002,0.284,0.454,0.881,nan,0.069,0.236,0.004,0.112,0.083
